Dates,Duration,Max_EDf5,Max30,Total_mm,Season,Baseline_max,Baseline_water,try,max_flow-perfect,Flow_reduction-perfect,water-perfect,Water_reduction-perfect,max_flow-plusMin,Flow_reduction-plusMin,water-plusMin,Water_reduction-plusMin,max_flow-swap,Flow_reduction-swap,water-swap,Water_reduction-swap,Flow_from_perfect-plusMin,Flow_from_perfect-swap,Water_from_perfect-plusMin,Water_from_perfect-swap
2004-01-06 - 2004-01-09,60.333333333333336,3.8210526315789473,10.8,51.400000000000006,2003-2004,73.6358102248831,1491.2668400000093,0.560007934933545,34.45824628381881,53.20449903574954,1491.2668400000093,0.0,34.45824628381881,53.20449903574954,1491.2668400000093,0.0,34.45824628381881,53.20449903574954,1491.2668400000093,0.0,0.0,0.0,0.0,0.0
2004-12-24 - 2004-12-25,33.833333333333336,11.072727272727274,27.0,56.4,2004-2005,453.36820290442097,1453.7576950000139,0.4769177368969108,282.1936195597809,37.7561951297072,1155.7345911376053,20.500190980066023,286.55179561031116,36.79490670616749,1125.2254624899215,22.598830165441655,286.83409805107186,36.73263889846677,1137.1741987364935,21.776909408793696,1.5443921295346583,1.6444306921361413,-2.639804058962472,-1.6059389883660542
2005-01-15 - 2005-01-16,25.666666666666668,8.700000000000001,18.2,46.8,2004-2005,203.6428338049098,1439.5645250000046,0.2290871225269004,203.6428338049098,0.0,1388.2014607896006,3.5679584567703784,204.80241208488783,-0.5694176702966691,1417.2879819763446,1.5474501237559968,203.78428504188605,-0.06946045403776029,1367.4327417830002,5.010666904076711,0.5694176702966691,0.06946045403776029,2.0952665739308296,-1.4960882547110437
2005-01-19 - 2005-01-20,20.0,13.8,14.4,51.2,2004-2005,262.88215786487206,1429.9270399999987,0.22720962517353077,262.8962807174224,-0.005372313079395651,1414.7620690606154,1.0605415881486688,262.8879459476894,-0.0022017784943425753,1418.7800628923014,0.7795486619860863,262.8388986651932,0.0164557382023217,1397.8266540077625,2.244896774050528,-0.003170364263159102,-0.02182687867345955,0.284004916413535,-1.1970504032595275
2005-02-04 - 2005-02-09,106.83333333333331,7.672727272727273,20.2,102.3,2004-2005,596.6766609661116,1570.8824450000006,0.1466462991251215,460.87437172605166,22.75977897646861,1570.7878450000007,0.0060220928880455014,460.7539840850158,22.77995533812501,1570.8824450000006,0.0,460.8723923917188,22.760110702923217,1570.7733272871947,0.0069462685227208425,-0.026121574212290364,-0.0004294737252279741,0.006022455565913821,-0.0009242312927422904
2005-12-24 - 2005-12-25,28.666666666666668,9.266666666666667,15.8,58.8,2005-2006,199.77770582405657,1445.0306200000139,0.42138146476917737,91.72550860372037,54.08621386186972,1445.0306200000139,0.0,93.41081678069223,53.24262214575696,1445.0306200000139,0.0,91.72550860372037,54.08621386186972,1445.0306200000139,0.0,1.83733860147111,0.0,0.0,0.0
2006-01-10 - 2006-01-13,86.0,4.984615384615385,16.2,109.4,2005-2006,349.94282261349855,1536.0031950000093,0.36491282209535564,179.57053958379962,48.68574864810702,1536.0031950000093,0.0,186.6951350165019,46.649817355248025,1536.0031950000093,0.0,180.15155255605757,48.519717818293536,1536.0031950000093,0.0,3.967574775470041,0.3235569562828051,0.0,0.0
2006-12-26 - 2006-12-27,32.0,12.479999999999997,19.0,75.69999999999999,2006-2007,363.08032989935964,1453.3590200000087,0.0798333911836168,320.37431961464523,11.762138228901541,1453.3590200000087,0.0,318.20280688676013,12.360218749674178,1453.3590200000087,0.0,320.32172951044566,11.776622655588643,1453.3590200000087,0.0,-0.6778048660382814,-0.01641520589503661,0.0,0.0
2007-01-06 - 2007-01-07,29.166666666666668,12.466666666666669,30.8,43.3,2006-2007,255.19015136855796,1447.4066450000141,0.08295730649080181,255.19015136855796,0.0,1447.4066450000141,0.0,255.19015136855796,0.0,1447.4066450000141,0.0,255.19015136855796,0.0,1447.4066450000141,0.0,0.0,0.0,0.0,0.0
2007-11-20 - 2007-11-22,59.5,5.5,20.0,90.2,2007-2008,399.02884174497245,1494.103295000003,0.626243925017357,171.44121540891842,57.035382540470586,1438.397918226912,3.7283484321002693,182.1023351781033,54.363615827427175,1494.103295000003,0.0,171.4797059461627,57.025736486547274,1478.9145976318491,1.0165761242199738,6.21852787484979,0.02245115747253596,3.8727375830575532,2.816792133214523
2008-01-29 - 2008-01-31,43.833333333333336,6.342857142857143,15.6,56.0,2007-2008,310.114072413373,1469.0132300000075,0.38683698972507635,181.97252200507134,41.32077896726103,1446.2181024922133,1.5517305795669425,183.7000275448102,40.76372409829134,1407.6434128806204,4.177621812118519,181.84801465792543,41.36092785382298,1411.654007416972,3.9046089859269135,0.9493221947491215,-0.06842096035929979,-2.667280235610287,-2.3899642118763627
2008-02-14 - 2008-02-15,29.0,13.333333333333334,23.2,55.7,2007-2008,477.02389799711244,1441.1175050000047,0.2443595973620271,343.40098339893245,28.011786235286024,1271.2061925464998,11.790246934340333,339.99635757699895,28.725508511303758,1267.1478547886695,12.071857402865605,338.79115581006346,28.978158697593333,1393.0011714937393,3.338820973260278,-0.9914432359031187,-1.3424037238454007,-0.319250943051224,9.581056138757315
2008-12-23 - 2008-12-24,13.333333333333334,26.4,33.2,72.2,2008-2009,688.1074903449327,1417.7348600000075,0.32855159648310966,648.3644765225329,5.775698474445836,1108.676812526934,21.79942499777933,654.8324387509635,4.835734541603245,1115.0336776042816,21.351043198283516,653.1343859232885,5.082505991049878,1101.5117563792796,22.304812595263844,0.9975812159113401,0.7356833345248621,0.5733740442229245,-0.6462709480974557
2009-02-27 - 2009-02-28,22.33333333333333,8.657142857142858,16.2,41.10000000000001,2008-2009,282.66807388123175,1433.8481000000036,0.6136048125867654,160.29078996738778,43.29363491020322,1255.0307909453347,12.471147331064454,160.14902988446798,43.34378563326626,1286.44353806355,10.280347125783628,163.53798342175793,42.14486935992939,1163.4255068459795,18.85991920301902,-0.08843931890824437,2.0258141188466356,2.5029463296716465,-7.299046745327643
2009-10-29 - 2009-10-30,26.666666666666668,18.9,33.2,58.5,2009-2010,659.4011576627163,1440.970060000007,0.32801110725442556,521.4599917620064,20.919157374495658,1285.2566946392951,10.806148558056165,521.4770566705009,20.91656943416583,1284.1720520816914,10.881420250904782,521.4744427657084,20.91696584002016,1321.3489261211782,8.301430904041693,0.003272524980646689,0.0027712583765367987,-0.0843911229661505,2.8081730001812857
2009-12-17 - 2009-12-18,18.83333333333333,20.5,22.2,49.70000000000001,2009-2010,637.6332901019923,1428.5585300000048,0.43498380379453955,480.0461588600599,24.714382653503808,1043.022956075773,26.98773384694504,480.3921379397274,24.660122770113446,984.853169619508,31.059655664265662,480.45379389923545,24.650453268776996,1058.5425469857923,25.901352674308082,0.07207204417363751,0.0849158006270761,-5.577037985349875,1.4879433688026997
2010-02-25 - 2010-02-26,14.833333333333334,19.44,26.200000000000003,86.99999999999999,2009-2010,654.275798282065,1421.2676749999996,0.12170291531698288,535.3218166714096,18.18101508920144,1183.16039840841,16.753162038360557,527.3339419308276,19.401887810087008,1195.7199232245073,15.86947735059776,527.2538550016997,19.41412835594522,1273.271025067407,10.413003302322531,-1.492163123530069,-1.507123643843976,1.0615234276766226,7.616095567449185
